Negara,Tahun,co2_emisi_per_kapita,gdp_per_kapita,persen_listrik_terbarukan,persen_populasi_urban,persen_akses_listrik,konsumsi_energi_per_orang,konsumsi_energi_per_orang
Brunei,1990,21.373428,118163.68,0,66.438,100,80515.45,80515.45
Brunei,1991,27.464195,118220.69,0,66.585,100,62558.26,62558.26
Brunei,1992,25.517817,111457.22,0,67.078,100,59529.04,59529.04
Brunei,1993,22.955238,107899.13,0,67.604,100,55122.812,55122.812
Brunei,1994,19.549812,106239.234,0,68.126,100,51652.07,51652.07
Brunei,1995,20.0074,105043.85,0,68.644,100,62322.04,62322.04
Brunei,1996,19.711641,102522.125,0,69.158,100,56664.402,56664.402
Brunei,1997,19.93792,106503.42,0,69.666,100,59194.297,59194.297
Brunei,1998,17.91309,97171.64,0,70.17,100,52330.348,52330.348
Brunei,1999,18.719257,99083.32,0,70.669,100,60390.344,60390.344
Brunei,2000,16.326294,100323.44,0,71.164,100,60246.43,60246.43
Brunei,2001,15.5697975,99680.766,0,71.652,100,67075.96,67075.96
Brunei,2002,13.73254,101571.586,0,72.046,100,76770.72,76770.72
Brunei,2003,16.150925,103226.914,0,72.421,100,77924.9,77924.9
Brunei,2004,15.984768,101497.76,0,72.794,100,84994.53,84994.53
Brunei,2005,15.126363,99795.69,0,73.163,100,94145.4,94145.4
Brunei,2006,19.592522,102248.51,0,73.529,100,142808.23,142808.23
Brunei,2007,21.779644,96752.62,0,73.892,100,147401.92,147401.92
Brunei,2008,24.263243,91275.5,0,74.252,100,148618,148618
Brunei,2009,20.121027,87875.83,0,74.608,100,96760.28,96760.28
Brunei,2010,20.437696,88586.516,0,74.961,100,108143.3,108143.3
Brunei,2011,23.928259,90279.664,0,75.31,100,109123.086,109123.086
Brunei,2012,23.426346,89718.46,0,75.656,100,104452.12,104452.12
Brunei,2013,18.547974,86606.65,0,75.997,100,95813.13,95813.13
Brunei,2014,21.192278,83310.62,0,76.332,100,106320.98,106320.98
Brunei,2015,16.422749,81910.19,0,76.663,100,115966.164,115966.164
Brunei,2016,17.85392,78880.625,0,76.99,100,119621.06,119621.06
Brunei,2017,21.5125,78966.87,0,77.312,100,118652.734,118652.734
Brunei,2018,21.34535,78099.05,0,77.629,100,121705.086,121705.086
Brunei,2019,24.247364,80228.16,0,77.942,100,121659.54,121659.54
Brunei,2020,24.939121,80280.9,0,78.25,100,130879.01,130879.01
Brunei,2021,25.931751,78248.8,0,78.554,100,123036.74,123036.74
Brunei,2022,24.936909,76357.83,0,78.854,100,117683.32,117683.32
Brunei,2023,25.646858,76616.7,0,79.149,100,118224.53,118224.53
Cambodia,1990,0.17091073,2646.098,,15.546,,259.63864,259.63864
Cambodia,1991,0.16969118,2731.3796,,15.887,,264.77304,264.77304
Cambodia,1992,0.16619585,2769.4883,,16.234,,251.89862,251.89862
Cambodia,1993,0.16074014,2714.5916,,16.587,,236.78964,236.78964
Cambodia,1994,0.15426768,1650.391,,16.946,,221.04517,221.04517
Cambodia,1995,0.14958154,1672.7393,,17.311,,604.91595,604.91595
Cambodia,1996,0.14043753,1643.0157,,17.683,,617.2047,617.2047
Cambodia,1997,0.12666214,1595.1713,,18.06,,684.69293,684.69293
Cambodia,1998,0.15557702,1602.3837,,18.355,18.67,770.7255,770.7255
Cambodia,1999,0.15443803,1775.4124,,18.47,8.820037,781.1996,781.1996
Cambodia,2000,0.16052763,1922.0317,15.151515,18.586,16.6,711.57263,711.57263
Cambodia,2001,0.17656529,2032.0809,10.714286,18.703,9.5,744.9778,744.9778
Cambodia,2002,0.1673072,2126.3416,5.263158,18.82,13.1,732.3073,732.3073
Cambodia,2003,0.17265914,2309.8394,7.8125005,18.937,19.3,782.7068,782.7068
Cambodia,2004,0.16930318,2491.3093,5.263158,19.055,14.2,797.8957,797.8957
Cambodia,2005,0.16439965,2781.8904,5.263158,19.174,20.5,890.32117,890.32117
Cambodia,2006,0.20873478,3041.1047,5.1282053,19.293,27.5,949.56476,949.56476
Cambodia,2007,0.2520972,3308.1575,4.6979866,19.413,20.2,1099.2047,1099.2047
Cambodia,2008,0.2800757,3501.9258,4.054054,19.571,26.4,1137.1755,1137.1755
Cambodia,2009,0.3207576,3587.609,4.7619047,19.93,25.6,1385.5502,1385.5502
Cambodia,2010,0.34920588,3711.5376,4.9504952,20.294,31.1,1574.5034,1574.5034
Cambodia,2011,0.3582737,3921.979,6.603774,20.663,37.4,1602.2556,1602.2556
Cambodia,2012,0.37308356,4159.1636,36.9863,21.037,42.3,1703.9656,1703.9656
Cambodia,2013,0.37084213,4419.399,56.90608,21.415,50.9,1725.3021,1725.3021
Cambodia,2014,0.43509176,4702.7305,59.807076,21.799,56.1,1792.5529,1792.5529
Cambodia,2015,0.524184,4968.5728,44.541485,22.188,62.7,2045.9849,2045.9849
Cambodia,2016,0.671632,5283.7295,46.42234,22.582,68.8,2504.2292,2504.2292
Cambodia,2017,0.7520279,5632.0312,40.729927,22.98,89.1,2612.845,2612.845
Cambodia,2018,0.8561779,6050.591,59.34579,23.388,80.7,3033.5674,3033.5674
Cambodia,2019,1.1303334,6448.885,49.336285,23.805,84,3629.5818,3629.5818
Cambodia,2020,1.1380401,6128.782,49.441963,24.232,86.4,3623.198,3623.198
Cambodia,2021,1.1339663,6225.5327,58.829365,24.668,82.5,3779.0127,3779.0127
Cambodia,2022,1.1399238,6458.368,64.788734,25.114,92.3,3826.6792,3826.6792
Cambodia,2023,1.1580942,6695.292,44.517067,25.57,95,4590.7,4590.7
Indonesia,1990,0.84512234,4873.0537,23.010492,30.584,,3270.711,3270.711
Indonesia,1991,0.93621755,5118.468,22.204845,31.613,48.9,3495.796,3495.796
Indonesia,1992,1.0493306,5357.376,26.638681,32.703,66.69656,3772.0815,3772.0815
Indonesia,1993,1.1127938,5609.152,25.141516,33.808,55.43,3951.4868,3951.4868
Indonesia,1994,1.115874,5931.235,20.873459,34.933,62.8,4067.5496,4067.5496
Indonesia,1995,1.1126755,6312.9346,19.411617,36.076,66.86,4353.858,4353.858
Indonesia,1996,1.2453723,6695.4097,18.970045,37.235,72.39,4592.159,4592.159
Indonesia,1997,1.3554124,6897.0024,12.157132,38.406,80.3,4903.2373,4903.2373
Indonesia,1998,1.1653565,5897.6855,17.798302,39.593,80.94,4744.7188,4744.7188
Indonesia,1999,1.3708667,5855.658,17.05412,40.792,83.73,5103.109,5103.109
Indonesia,2000,1.3019868,6056.382,19.99184,42.002,86.3,5387.87,5387.87
Indonesia,2001,1.4469663,6190.5195,20.90241,42.783,86.3,5690.084,5690.084
Indonesia,2002,1.3890227,6381.9497,18.577494,43.568,87.6,5768.059,5768.059
Indonesia,2003,1.507934,6599.092,16.883892,44.356,87.9,6183.9165,6183.9165
Indonesia,2004,1.5049647,6843.5464,16.805578,45.149,89,6040.2085,6040.2085
Indonesia,2005,1.5056726,7140.8545,17.051697,45.942,84.8,6137.1426,6137.1426
Indonesia,2006,1.481646,7434.488,15.347826,46.738,90.6,6159.9385,6159.9385
Indonesia,2007,1.6361018,7802.464,16.367926,47.535,91.1,6524.364,6524.364
Indonesia,2008,1.5228248,8165.0615,16.895447,48.335,92.7,6514.8174,6514.8174
Indonesia,2009,1.640252,8435.456,16.448702,49.134,93.6,6608.3013,6608.3013
Indonesia,2010,1.8099737,8848.225,19.503267,49.914,94.2,7062.3315,7062.3315
Indonesia,2011,2.0071535,9274.97,15.874504,50.595,94.8,7365.992,7365.992
Indonesia,2012,2.041778,9708.612,14.888017,51.276,96,7665.838,7665.838
Indonesia,2013,1.9114735,10121.814,15.765166,51.955,96.5,7131.1064,7131.1064
Indonesia,2014,1.8846375,10504.387,14.485982,52.635,97,7171.867,7171.867
Indonesia,2015,2.0593998,10893.662,13.794805,53.313,97.5,7243.953,7243.953
Indonesia,2016,2.0409288,11319.663,15.367891,53.989,97.6,7120.3076,7120.3076
Indonesia,2017,2.0832288,11772.574,16.247227,54.659,98.1,7569.617,7569.617
Indonesia,2018,2.2007682,12262.231,17.047817,55.325,98.5,7896.083,7896.083
Indonesia,2019,2.3993292,12757.785,16.260492,55.985,98.9,8271.659,8271.659
Indonesia,2020,2.213211,12388.545,18.124186,56.641,97,7700.8594,7700.8594
Indonesia,2021,2.23886,12757.074,18.166538,57.29,99.2,7937.189,7937.189
Indonesia,2022,2.6434436,13334.266,19.610842,57.934,100,9859.906,9859.906
Indonesia,2023,2.6075745,13889.975,18.596691,58.572,99.4,9904.814,9904.814
Laos,1990,0.11896353,2005.5005,,15.437,,303.67612,303.67612
Laos,1991,0.12309524,2033.5826,,15.782,,325.5395,325.5395
Laos,1992,0.1299953,2088.02,,16.133,,328.16028,328.16028
Laos,1993,0.12965254,2152.2766,,16.49,31,337.1256,337.1256
Laos,1994,0.13188648,2267.7822,,16.854,25.605793,330.19977,330.19977
Laos,1995,0.13610286,2368.0547,,17.378,25,368.3908,368.3908
Laos,1996,0.14862165,2473.773,,18.234,31.2477,406.15845,406.15845
Laos,1997,0.15380734,2589.2075,,19.12,34.063896,429.55844,429.55844
Laos,1998,0.15625623,2642.5662,,20.039,36.87601,416.9093,416.9093
Laos,1999,0.15837474,2786.5205,,20.991,39.683285,408.50647,408.50647
Laos,2000,0.176831,2899.0195,89.863014,21.977,42.6,927.3922,927.3922
Laos,2001,0.19246706,3015.6326,89.91825,22.993,45.3,972.89404,972.89404
Laos,2002,0.2077707,3143.2234,89.91597,24.044,46.3,1003.50653,1003.50653
Laos,2003,0.2142832,3282.9854,89.84126,25.126,48,1075.6758,1075.6758
Laos,2004,0.22182229,3441.17,100,26.242,53.5,1096.1722,1096.1722
Laos,2005,0.22779061,3630.5588,100,27.186,57.2,1243.3165,1243.3165
Laos,2006,0.2946993,3881.5374,100,27.748,57,1515.81,1515.81
Laos,2007,0.30305886,4112.253,100,28.316,55,1579.583,1579.583
Laos,2008,0.3466198,4367.163,100,28.893,66,1728.942,1728.942
Laos,2009,0.4273679,4625.072,100,29.475,67.4,1952.9862,1952.9862
Laos,2010,0.47433594,4946.1055,100,30.064,70.2,2160.722,2160.722
Laos,2011,0.4932834,5266.879,100,30.66,70,2263.1826,2263.1826
Laos,2012,0.52124816,5608.9697,100,31.264,76.4,2548.3079,2548.3079
Laos,2013,0.64452255,5974.4736,100,31.872,79.3,2815.8389,2815.8389
Laos,2014,0.6638244,6341.2124,100,32.487,82.5,2958.931,2958.931
Laos,2015,1.3569225,6703.741,86.01485,33.108,89.7,5482.204,5482.204
Laos,2016,2.3822117,7063.2554,68.77207,33.736,89,8507.103,8507.103
Laos,2017,2.8047261,7432.4595,64.82137,34.368,93.6,9871.417,9871.417
Laos,2018,2.884135,7775.086,65.078445,35.004,92.9,10029.265,10029.265
Laos,2019,2.6362908,8075.275,63.476315,35.645,98.4,10097.228,10097.228
Laos,2020,2.6531994,7995.595,71.5966,36.29,99.3,9094.416,9094.416
Laos,2021,3.0592737,8080.4355,73.5412,36.939,100,9379.848,9379.848
Laos,2022,3.1004407,8183.0327,76.13636,37.592,100,8552.465,8552.465
Laos,2023,3.235021,8372.156,76.71128,38.247,96.5,10100.2,10100.2
Malaysia,1990,3.0431776,12013.697,17.495173,49.794,,13544.882,13544.882
Malaysia,1991,3.5865006,12795.05,16.756989,50.576,,16492.357,16492.357
Malaysia,1992,3.8737922,13567.894,13.657899,51.814,,18118.684,18118.684
Malaysia,1993,4.4824343,14533.79,13.914475,53.109,,17766.072,17766.072
Malaysia,1994,4.414514,15474.015,16.307709,54.402,,18391.816,18391.816
Malaysia,1995,5.390666,16568.516,13.350653,55.688,,19617.23,19617.23
Malaysia,1996,5.2809725,17771.71,9.7061615,56.969,,21352.938,21352.938
Malaysia,1997,5.5424733,18604.514,6.962513,58.237,,24161.033,24161.033
Malaysia,1998,5.011337,16817.172,6.9487243,59.496,,22662.488,22662.488
Malaysia,1999,4.634915,17428.625,11.078236,60.742,,23643.734,23643.734
Malaysia,2000,5.3500233,18532.91,10.815451,61.977,98.6,26659.578,26659.578
Malaysia,2001,5.563517,18186.441,8.762206,62.922,98.6,26646.21,26646.21
Malaysia,2002,5.478087,18708.87,7.1843696,63.856,98.6,27395.031,27395.031
Malaysia,2003,6.2150364,19329.006,6.6138525,64.78,98.7,28984.602,28984.602
Malaysia,2004,6.7181454,20168.506,6.402249,65.694,98.7,30602.855,30602.855
Malaysia,2005,6.5786943,20767.586,6.683544,66.594,98.7,32374.36,32374.36
Malaysia,2006,6.4413414,21444.486,6.673719,67.483,98.8,31993.602,31993.602
Malaysia,2007,6.4985785,22305.12,6.1906953,68.36,98.9,33389.086,33389.086
Malaysia,2008,6.994816,22898.002,7.5639105,69.225,99,33899.625,33899.625
Malaysia,2009,6.830967,22106.643,7.1311684,70.075,99.3,32186.54,32186.54
Malaysia,2010,6.9565897,23307.97,6.09405,70.912,99.5,32635.248,32635.248
Malaysia,2011,6.976631,24115.818,7.554891,71.609,99.5,32616.816,32616.816
Malaysia,2012,7.180377,25006.36,8.02506,72.275,99.8,35083.645,35083.645
Malaysia,2013,8.009191,25736.354,9.250195,72.93,99.6,36091.863,36091.863
Malaysia,2014,7.9830947,26818.432,9.703669,73.577,99.7,35757.516,35757.516
Malaysia,2015,7.5541906,27699.627,9.952701,74.213,99.9,35686.098,35686.098
Malaysia,2016,7.464497,28425.371,13.463135,74.84,99.9,36876.895,36876.895
Malaysia,2017,7.5553236,29551.545,17.39293,75.447,100,36732.152,36732.152
Malaysia,2018,7.980434,30459.965,16.596317,76.036,100,36769.855,36769.855
Malaysia,2019,8.368345,31300.508,16.134453,76.607,100,37119.555,37119.555
Malaysia,2020,7.7663965,29200.453,17.57945,77.16,100,35317.566,35317.566
Malaysia,2021,7.967726,29822.85,19.251183,77.696,100,36500.8,36500.8
Malaysia,2022,8.227246,32079.152,19.47394,78.214,100,39068.78,39068.78
Malaysia,2023,8.2224455,32812.3,19.158678,78.716,100,37724.656,37724.656
Myanmar,1990,0.106379114,775.32825,,25.243,,570.20514,570.20514
Myanmar,1991,0.102426216,759.2828,,25.418,,553.2593,553.2593
Myanmar,1992,0.11823883,821.32776,,25.593,,560.7321,560.7321
