Negara,Tahun,co2_emisi_per_kapita,gdp_per_kapita,persen_listrik_terbarukan,persen_populasi_urban,persen_akses_listrik,konsumsi_energi_per_orang,konsumsi_energi_per_orang
Myanmar,1993,0.12777653,859.3455,,25.769,,587.59973,587.59973
Myanmar,1994,0.14680658,911.46844,,25.946,,696.463,696.463
Myanmar,1995,0.16177854,962.2094,,26.124,,733.3419,733.3419
Myanmar,1996,0.16656272,1011.1599,,26.303,,730.6286,730.6286
Myanmar,1997,0.16975178,1054.7675,,26.482,,773.1899,773.1899
Myanmar,1998,0.18180251,1102.791,,26.663,,887.11694,887.11694
Myanmar,1999,0.19946577,1209.0165,,26.843,,885.16223,885.16223
Myanmar,2000,0.22563893,1359.9304,36.666668,27.025,41.9,978.62054,978.62054
Myanmar,2001,0.19347812,1498.3116,38.543896,27.208,43,889.0309,889.0309
Myanmar,2002,0.20176381,1661.7358,41.617355,27.391,47,1016.455,1016.455
Myanmar,2003,0.21422179,1874.1713,38.37638,27.575,45.1,1146.0968,1146.0968
Myanmar,2004,0.26696044,2110.2373,42.959003,27.76,46.2,1195.2083,1195.2083
Myanmar,2005,0.24357975,2377.9026,49.83389,27.946,47.3,1532.6003,1532.6003
Myanmar,2006,0.2681476,2669.327,53.883495,28.132,48.4,1418.0614,1418.0614
Myanmar,2007,0.26682886,2968.3032,56.562496,28.319,49.5,1519.3116,1519.3116
Myanmar,2008,0.20194063,3254.739,61.480366,28.507,50.6,1358.991,1358.991
Myanmar,2009,0.20976608,3578.1743,75.46629,28.695,51.8,1190.1348,1190.1348
Myanmar,2010,0.26765463,3893.7903,71.809746,28.885,48.8,1228.7161,1228.7161
Myanmar,2011,0.30599007,4078.6123,72.09971,29.075,54.1,1239.8604,1239.8604
Myanmar,2012,0.23714164,4340.9995,71.326164,29.266,55.3,1518.6694,1518.6694
Myanmar,2013,0.2531136,4666.9536,72.55217,29.457,56.5,1748.0414,1748.0414
Myanmar,2014,0.31272396,5006.507,62.960392,29.65,52,2079.9597,2079.9597
Myanmar,2015,0.42841202,5313.886,59.506172,29.858,60.5,1894.9684,1894.9684
Myanmar,2016,0.41052818,5580.9897,55.187634,30.082,55.6,2201.668,2201.668
Myanmar,2017,0.4553452,5877.8745,53.326996,30.322,69.8,2868.163,2868.163
Myanmar,2018,0.65076345,6201.263,58.1793,30.579,66.1,2971.0962,2971.0962
Myanmar,2019,0.63867646,6562.989,56.26294,30.852,68.3,2882.8372,2882.8372
Myanmar,2020,0.6523924,5926.8345,48.668797,31.141,70.4,2892.35,2892.35
Myanmar,2021,0.55444026,5178.4473,49.34935,31.448,72.5,2767.6726,2767.6726
Myanmar,2022,0.5493762,5350.4766,40.860214,31.771,73.6,2488.8733,2488.8733
Myanmar,2023,0.5584913,5364.138,38.186066,32.112,76.8,2457.1155,2457.1155
Philippines,1990,0.6508599,4504.4624,45.42014,46.986,,2982.8967,2982.8967
Philippines,1991,0.66838676,4378.3955,42.50848,46.901,,2863.2012,2863.2012
Philippines,1992,0.7270865,4293.7183,39.195976,46.815,,3004.928,3004.928
Philippines,1993,0.7189008,4283.1597,40.24606,46.73,65.4,3216.5945,3216.5945
Philippines,1994,0.7786311,4374.0674,39.994747,46.645,68.018555,3278.7124,3278.7124
Philippines,1995,0.84376806,4477.323,36.857006,46.56,69.13312,3663.7136,3663.7136
Philippines,1996,0.8424188,4631.772,36.95208,46.475,70.24496,3837.6443,3837.6443
Philippines,1997,0.9419096,4758.7085,33.43468,46.39,71.35339,4089.384,4089.384
Philippines,1998,0.89468807,4616.673,33.62355,46.305,71.3,3959.141,3959.141
Philippines,1999,0.87113464,4650.7593,44.49218,46.22,71.87417,3925.1965,3925.1965
Philippines,2000,0.9030095,4740.439,42.891834,46.135,74.7,3864.5166,3864.5166
Philippines,2001,0.86169255,4778.401,37.27949,46.05,75.7,3695.906,3695.906
Philippines,2002,0.8435083,4856.4995,35.63764,45.965,76.7,3638.976,3638.976
Philippines,2003,0.82740444,5003.3833,33.415188,45.88,76.6,3680.8342,3680.8342
Philippines,2004,0.84105927,5229.4507,33.732574,45.795,87.6,3695.3928,3695.3928
Philippines,2005,0.8312165,5386.8164,32.366978,45.71,79.8,3628.2227,3628.2227
Philippines,2006,0.74047565,5578.5723,36.033813,45.625,80.2,3410.942,3410.942
Philippines,2007,0.77347296,5840.068,31.600136,45.54,82,3478.4377,3478.4377
Philippines,2008,0.83042014,5987.0376,33.903324,45.455,83.3,3533.4614,3533.4614
Philippines,2009,0.80426943,5965.307,32.57429,45.371,84.3,3511.2039,3511.2039
Philippines,2010,0.85738873,6273.039,26.295584,45.332,85.5,3539.9768,3539.9768
Philippines,2011,0.8489691,6388.313,28.662327,45.522,87.2,3540.3767,3540.3767
Philippines,2012,0.8796461,6697.556,28.453835,45.712,87.1,3592.5613,3592.5613
Philippines,2013,0.935763,7016.5386,26.412336,45.903,87.5,3778.8625,3778.8625
Philippines,2014,0.97125316,7340.362,25.611809,46.093,89.8,3909.4783,3909.4783
Philippines,2015,1.0620909,7691.763,25.412622,46.284,89.1,4220.2983,4220.2983
Philippines,2016,1.1335168,8131.825,24.209715,46.475,92,4547.8896,4547.8896
Philippines,2017,1.2434982,8584.136,24.554895,46.682,93,4925.2554,4925.2554
Philippines,2018,1.2861164,9016.286,23.370764,46.907,94.2,5028.47,5028.47
Philippines,2019,1.2953051,9452.294,20.786572,47.149,95.3,5109.186,5109.186
Philippines,2020,1.1797879,8455.185,21.228502,47.408,96.4,4583.802,4583.802
Philippines,2021,1.248213,8857.79,22.127659,47.684,97.5,4823.6353,4823.6353
Philippines,2022,1.2714316,9457.104,22.139528,47.977,94.8,5010.159,5010.159
Philippines,2023,1.3454357,9898.533,21.942446,48.287,98,5298.6797,5298.6797
Singapore,1990,14.323062,45567.79,0.54425776,100,100,89850.19,89850.19
Singapore,1991,14.104602,47251.695,1.4762061,100,100,88741.484,88741.484
Singapore,1992,14.704105,48897.81,1.3965604,100,100,92544.805,92544.805
Singapore,1993,14.968128,53139.844,1.2920306,100,100,98320.57,98320.57
Singapore,1994,17.580477,57213.098,1.1849831,100,100,109160.086,109160.086
Singapore,1995,11.474445,59483.637,1.1107384,100,100,110070.04,110070.04
Singapore,1996,13.102138,61381.754,1.0247016,100,100,107102.16,107102.16
Singapore,1997,14.94425,64291.203,0.9172801,100,100,108729.6,108729.6
Singapore,1998,12.15272,60782.195,0.86344224,100,100,107272.61,107272.61
Singapore,1999,12.403918,63746.48,0.8299458,100,100,104456.266,104456.266
Singapore,2000,9.260702,68314.55,1.5472056,100,100,109787.67,109787.67
Singapore,2001,9.35959,65784.4,2.0871143,100,100,121648.58,121648.58
Singapore,2002,9.696137,67744.27,2.221581,100,100,116290.8,116290.8
Singapore,2003,9.553454,71877.53,2.8029447,100,100,109775.87,109775.87
Singapore,2004,9.825734,78039.02,2.6072786,100,100,123066.28,123066.28
Singapore,2005,9.277653,81841.16,2.5117738,100,100,127052.87,127052.87
Singapore,2006,9.212602,86463.83,2.405672,100,100,135880.1,135880.1
Singapore,2007,8.941658,90417.805,2.4070022,100,100,141083.86,141083.86
Singapore,2008,8.363356,87329.59,2.4958003,100,100,143674.9,143674.9
Singapore,2009,8.211698,84843.516,2.5119617,100,100,149340.75,149340.75
Singapore,2010,8.745369,95456.19,2.6014109,100,100,156004.97,156004.97
Singapore,2011,9.069531,99296.76,2.6086957,100,100,159037.1,159037.1
Singapore,2012,8.709126,101187.83,2.7055817,100,100,157042.28,157042.28
Singapore,2013,8.72707,104359.03,3.5230353,100,100,156554.17,156554.17
Singapore,2014,8.721374,107066.86,2.7991886,100,100,157656.02,157656.02
Singapore,2015,8.940693,108953.73,2.9037392,100,100,164989.94,164989.94
Singapore,2016,8.8026085,111579.74,2.9075403,100,100,172267.97,172267.97
Singapore,2017,8.939978,116471.82,2.8882937,100,100,175961.44,175961.44
Singapore,2018,8.927446,119927.766,2.812913,100,100,176344.12,176344.12
Singapore,2019,8.642737,120114.13,2.7890654,100,100,171885.95,171885.95
Singapore,2020,8.309455,115893.04,2.8076127,100,100,162518.47,162518.47
Singapore,2021,9.033147,132617.36,2.9037461,100,100,164444.1,164444.1
Singapore,2022,8.4733,133571.97,4.0934644,100,100,158523.27,158523.27
Singapore,2023,8.507941,129555.24,4.5359383,100,100,171242.7,171242.7
Thailand,1990,1.5814027,8701.954,11.164903,29.424,,6465.27,6465.27
Thailand,1991,1.7082905,9294.031,9.048247,29.593,,7017.8154,7017.8154
Thailand,1992,1.8665439,9886.899,7.3293643,29.763,,7557.2944,7557.2944
Thailand,1993,2.122609,10538.816,5.750053,29.934,,8444.102,8444.102
Thailand,1994,2.3492641,11215.037,6.264716,30.105,,9351.686,9351.686
Thailand,1995,2.5999107,11953.92,8.447449,30.276,,10407.515,10407.515
Thailand,1996,2.8966253,12456.329,8.531997,30.449,,11614.834,11614.834
Thailand,1997,2.9840117,11952.85,7.9380517,30.622,,12064.959,12064.959
Thailand,1998,2.5958607,10897.153,6.029433,30.795,,10972.212,10972.212
Thailand,1999,2.6843886,11253.388,4.2754407,30.969,,11481.504,11481.504
Thailand,2000,2.656056,11622.525,6.721106,31.386,82.1,11771.425,11771.425
Thailand,2001,2.706424,11901.318,6.7234383,32.548,90.4,12289.004,12289.004
Thailand,2002,2.8734381,12512.184,7.4880114,33.734,91,13194.16,13194.16
Thailand,2003,2.9457886,13287.305,7.279627,34.941,91.6,14054.522,14054.522
Thailand,2004,3.1676755,13997.001,6.2353983,36.169,92.2,15121.482,15121.482
Thailand,2005,3.2464967,14458.255,5.773212,37.411,92.8,15467.404,15467.404
Thailand,2006,3.2421854,15051.061,7.296388,38.673,99.1,15668.248,15668.248
Thailand,2007,3.3394146,15742.655,7.310742,39.95,94.1,16074.739,16074.739
Thailand,2008,3.3163188,15891.782,6.2775025,41.242,94.8,15950.136,15950.136
Thailand,2009,3.3592596,15665.903,6.346813,42.543,99,16278.575,16278.575
Thailand,2010,3.514452,16730.37,5.56578,43.856,99.7,17198.242,17198.242
Thailand,2011,3.5485907,16766.348,7.8277884,44.698,99.3,17570.38,17570.38
Thailand,2012,3.778263,17869.637,8.078835,45.445,99.1,18619.59,18619.59
Thailand,2013,3.7762656,18242.426,7.501186,46.193,99.4,18796.799,18796.799
Thailand,2014,3.8806882,18324.615,8.177947,46.943,99.5,19328.406,19328.406
Thailand,2015,3.9282084,18811.998,7.765844,47.694,99.6,19526.96,19526.96
Thailand,2016,4.008556,19370.61,8.936714,48.448,99.9,19835.953,19835.953
Thailand,2017,3.9818301,20094.678,11.107339,49.2,99.9,20133.217,20133.217
Thailand,2018,4.0392394,20879.902,14.356437,49.949,99.8,20712.5,20712.5
Thailand,2019,3.9411173,21277.84,14.8624735,50.692,99.9,20689.307,20689.307
Thailand,2020,3.7956147,19957.258,14.211243,51.43,100,19257.488,19257.488
Thailand,2021,3.7244093,20242.77,15.009072,52.163,100,19334.592,19334.592
Thailand,2022,3.799712,20762.795,15.789765,52.889,99.9,19347.252,19347.252
Thailand,2023,3.6873055,21191.453,15.628117,53.608,100,19360.354,19360.354
Vietnam,1990,0.3251478,2467.9646,61.847713,20.257,,1177.446,1177.446
Vietnam,1991,0.3195542,2560.8438,68.58849,20.629,,1173.7502,1173.7502
Vietnam,1992,0.3144795,2726.4736,74.47707,21.006,,1256.8479,1256.8479
Vietnam,1993,0.32841212,2890.4243,74.70456,21.387,,1407.9254,1407.9254
Vietnam,1994,0.38617468,3089.6094,75.21973,21.774,,1544.6525,1544.6525
Vietnam,1995,0.41761085,3328.2148,72.24194,22.166,,1764.7869,1764.7869
Vietnam,1996,0.48500896,3584.029,70.868744,22.563,,1992.6176,1992.6176
Vietnam,1997,0.61301374,3820.3025,60.929333,22.965,78.4,2262.232,2262.232
Vietnam,1998,0.6356786,3982.958,51.157326,23.371,86.17599,2411.834,2411.834
Vietnam,1999,0.6363871,4119.0537,58.46598,23.817,86.99444,2465.0068,2465.0068
Vietnam,2000,0.69906276,4349.2236,54.781628,24.374,88.2,2775.6052,2775.6052
Vietnam,2001,0.7821518,4570.2686,59.49036,24.937,88.9,3104.361,3104.361
Vietnam,2002,0.88264406,4809.6216,50.837994,25.511,89.1,3361.0254,3361.0254
Vietnam,2003,0.9710653,5090.29,46.396286,26.092,90.3,3586.166,3586.166
Vietnam,2004,1.1070497,5421.097,38.571426,26.683,91,4328.843,4328.843
Vietnam,2005,1.1819925,5776.3633,31.835636,27.281,96.1,4560.3555,4560.3555
Vietnam,2006,1.2127889,6098.245,34.145077,27.888,96,4125.3145,4125.3145
Vietnam,2007,1.2127885,6418.544,35.09975,28.504,93.1,4427.348,4427.348
Vietnam,2008,1.341963,6659.1357,36.68781,29.128,93.8,5367.8267,5367.8267
Vietnam,2009,1.4398962,6914.339,37.264385,29.762,96.1,5409.7334,5409.7334
Vietnam,2010,1.5958343,7274.733,31.203663,30.417,97.4,6177.173,6177.173
Vietnam,2011,1.7244632,7652.619,40.577282,31.08,99,6749.787,6749.787
Vietnam,2012,1.6118838,7979.868,46.38763,31.752,97.9,6938.169,6938.169
Vietnam,2013,1.6719987,8324.198,46.56918,32.429,98.5,7244.142,7244.142
Vietnam,2014,1.9630398,8751.883,44.106194,33.115,99.2,7894.6836,7894.6836
Vietnam,2015,2.298032,9248.024,34.78046,33.809,99.3,8731.437,8731.437
Vietnam,2016,2.3508487,9743.188,35.87096,34.51,99.2,9326.307,9326.307
Vietnam,2017,2.3914742,10290.549,44.4279,35.213,100,9981.679,9981.679
Vietnam,2018,2.6530128,10936.894,38.71443,35.919,100,11210.958,11210.958
Vietnam,2019,3.4901097,11628.614,30.398075,36.628,99.4,12433.129,12433.129
Vietnam,2020,3.6955829,11851.396,34.81557,37.34,99.8,12527.926,12527.926
Vietnam,2021,3.173522,12048.902,42.77434,38.052,100,12365.535,12365.535
Vietnam,2022,2.9858754,12979.764,49.46249,38.766,100,12976.394,12976.394
Vietnam,2023,3.335515,13545.935,42.9822,39.48,99.8,13711.078,13711.078
